ID,Ape,Background,Eyes,Glasses,Jewelry,Headwear,Mouth,Outfit,Ape%,Background%,Eyes%,Glasses%,Jewelry%,Headwear%,Mouth%,Outfit%,Statistical Rarity,Inverse SR Rank,SR Percentile,Trait Count,Inverse TC Rarity,Sub-Rarity,Agg. RANK,Rarest Trait %,Rarest Trait Score,Rarity,Final Rank,Glitched?
16,Ham,Bright Sky,Brown And Orange,3D,None,Orange Beanie,Lollipop,Ripped Yellow Longsleeve,"9,74%","7,18%","10,38%","3,71%","62,75%","3,87%","5,03%","0,85%","0,000000000278",3561,"94,28",7,"87,45","90,87",205,"0,85","77,35","86,36151099",70,N
1731,Lou,Rainbow,Blue And Orange,Orange Shades,Bitcoin Chain,Santa Hat,Nothing,Dopey Hoodie,"12,05%","9,56%","22,00%","6,35%","2,70%","0,77%","65,90%","2,17%","0,000000000478",3477,"92,06",7,"87,45","89,75",275,"0,77","79,56","86,35671522",71,N
523,Bruno,Brick Wall,Yellow And Blue,None,Silver Necklace,Clown Wig,Cigarette,Hazmat Suit,"10,83%","6,09%","10,22%","64,95%","4,82%","2,57%","2,78%","0,93%","0,00000000014",3632,"96,16",7,"87,45","91,81",147,"0,93","75,14","86,25157725",72,N
1506,Juanita,Sprayed Wall,Yellow And Blue,Clear Lenses Round,Bitcoin Chain,Orange Beanie,Nothing,Hazmat Suit,"11,25%","5,30%","10,22%","3,87%","2,70%","3,87%","65,90%","0,93%","0,00000000015",3626,"96,00",7,"87,45","91,73",153,"0,93","75,14","86,19862517",73,N
1103,Albert,Space Gold,Orange And Blue,Flower Power,None,Captain's Hat,Bubblegum,ArtsyApes Basketball Jersey,"10,83%","2,07%","21,66%","3,52%","62,75%","4,18%","3,89%","0,93%","0,000000000161",3621,"95,87",7,"87,45","91,66",158,"0,93","75,14","86,15449844",74,N
3169,Ham,Abstract Red_Blue,Yellow And Blue,None,Golden Earring,Jägermeister Cap,Respirator,Anarchy Jacket,"9,74%","4,87%","10,22%","64,95%","3,79%","1,72%","2,28%","1,01%",0,3703,"98,04",7,"87,45","92,75",118,"1,01","72,93","86,14164351",75,N
1938,Jeff,Abstract White_Blue,Green And Orange,Clear Lenses Round,None,Jägermeister Cap,Party Whistle,Keikogi,"11,25%","5,19%","13,66%","3,87%","62,75%","1,72%","5,35%","0,93%","0,000000000165",3619,"95,82",7,"87,45","91,63",160,"0,93","75,14","86,13684775",76,N
1039,Gordo,Deep Blue,Green And Orange,Flower Power,Golden Eyebrow Piercing,Jägermeister Antlers,Nothing,Versace Tee,"10,19%","7,73%","13,66%","3,52%","2,62%","2,07%","65,90%","0,95%","0,000000000129",3639,"96,35",7,"87,45","91,90",143,"0,95","74,59","86,12922134",77,N
13,Lou,Matrix,Orange And Blue,None,Double Ear Piercing,Jägermeister Cap,Pizza,Hazmat Suit,"12,05%","4,21%","21,66%","64,95%","3,36%","1,72%","5,00%","0,93%","0,000000000191",3606,"95,47",7,"87,45","91,46",171,"0,93","75,14","86,02211824",78,N
2970,Bruno,Gold Flakes,Yellow And Blue,Deal With It,Cross Earring,Luart Helmet,Nothing,White Shirt & Blue Tie,"10,83%","6,33%","10,22%","5,03%","3,10%","0,95%","65,90%","2,28%","0,000000000156",3625,"95,98",7,"87,45","91,71",154,"0,95","74,59","86,00566649",79,N
485,Whitney,Deep Blue,Blue And Orange,None,Septum Piercing,Gold Crown,Lollipop,Keikogi,"10,46%","7,73%","22,00%","64,95%","3,47%","1,11%","5,03%","0,93%","0,000000000208",3598,"95,26",7,"87,45","91,36",177,"0,93","75,14","85,95151547",80,N
3102,Juanita,Space Gold,Orange And Blue,Orange Shades,None,Orange Beanie,Respirator,Versace Tee,"11,25%","2,07%","21,66%","6,35%","62,75%","3,87%","2,28%","0,95%","0,000000000168",3617,"95,76",7,"87,45","91,61",161,"0,95","74,59","85,93506372",81,N
463,Jeff,Matrix,Brown And Orange,Clear Lenses Round,Double Ear Piercing,Captain's Hat,Respirator,Black Waistcoat,"11,25%","4,21%","10,38%","3,87%","3,36%","4,18%","2,28%","1,46%",0,3759,"99,52",8,"97,62","98,57",17,"1,46","60,50","85,88179592",82,N
1231,Gordo,Mountains,Blue And Orange,Deal With It,Bitcoin Chain,None,Cigarette,Hazmat Suit,"10,19%","5,61%","22,00%","5,03%","2,70%","52,08%","2,78%","0,93%","0,000000000229",3588,"95,00",7,"87,45","91,22",186,"0,93","75,14","85,86326201",83,N
2402,Juanita,Red & Green Aura,Brown And Orange,Green Cybernetic Visor,Golden Nose Ring,Captain's Hat,Cigarette,Black Waistcoat,"11,25%","6,80%","10,38%","1,62%","5,56%","4,18%","2,78%","1,46%",0,3755,"99,42",8,"97,62","98,52",18,"1,46","60,50","85,84649454",84,N
1601,Jeff,Deep Blue,Orange And Blue,Heart Sunglasses,Rose Necklace,None,Party Whistle,ArtsyApes Basketball Jersey,"11,25%","7,73%","21,66%","4,42%","1,11%","52,08%","5,35%","0,93%","0,000000000239",3579,"94,76",7,"87,45","91,10",191,"0,93","75,14","85,78383389",85,N
3074,Jeff,Matrix,Green And Orange,Heart Sunglasses,None,Red Cap,Party Whistle,Keikogi,"11,25%","4,21%","13,66%","4,42%","62,75%","2,70%","5,35%","0,93%","0,00000000024",3578,"94,73",7,"87,45","91,09",192,"0,93","75,14","85,77500854",86,N
1279,Albert,Deep Green,Yellow And Blue,Pilot Sunglasses,Rose Necklace,Propeller Hat,Respirator,None,"10,83%","6,43%","10,22%","5,43%","1,11%","4,02%","2,28%","2,52%",0,3758,"99,50",7,"87,45","93,47",98,"1,11","70,17","85,7063709",87,N
1412,Lou,Space Silver,Grey And Yellow,Heart Sunglasses,None,Reverse Hat,Cigarette,Keikogi,"12,05%","6,43%","12,13%","4,42%","62,75%","3,76%","2,78%","0,93%","0,000000000253",3570,"94,52",7,"87,45","90,98",197,"0,93","75,14","85,70440577",88,N
636,Ham,Abstract White_Blue,Blue And Orange,None,Cross Necklace,Visor Cap,Pizza,Omega Hoodie,"9,74%","5,19%","22,00%","64,95%","3,18%","3,57%","5,00%","0,90%","0,00000000037",3524,"93,30",7,"87,45","90,38",235,"0,9","75,97","85,57463984",89,N
3579,Bruno,Brick Wall,Brown And Orange,Deal With It,Golden Earring,Luart Helmet,Nothing,_APES_ Sweater,"10,83%","6,09%","10,38%","5,03%","3,79%","0,95%","65,90%","3,02%","0,000000000247",3575,"94,65",7,"87,45","91,05",193,"0,95","74,59","85,56439917",90,N
2977,Gordo,Sprayed Wall,Orange And Blue,None,Jägermeister Chain,Red Cap,Party Whistle,Hazmat Suit,"10,19%","5,30%","21,66%","64,95%","2,99%","2,70%","5,35%","0,93%","0,000000000304",3552,"94,04",7,"87,45","90,75",211,"0,93","75,14","85,54554954",91,N
3333,Albert,Abstract Red_Blue,Grey And Yellow,Orange Shades,Golden Eyebrow Piercing,Jägermeister Antlers,Nothing,Rainbow Pin Suit & Tie,"10,83%","4,87%","12,13%","6,35%","2,62%","2,07%","65,90%","1,01%","0,000000000146",3629,"96,08",7,"87,45","91,77",150,"1,01","72,93","85,48856788",92,N
1964,Ham,Space Gold,Blue And Orange,Deal With It,Golden Nose Ring,None,Respirator,Joker Suit,"9,74%","2,07%","22,00%","5,03%","5,56%","52,08%","2,28%","1,01%","0,000000000148",3628,"96,06",7,"87,45","91,75",151,"1,01","72,93","85,47974253",93,N
2688,Lou,Abstract White_Blue,Green And Orange,Green Cybernetic Visor,Rose Necklace,Red Cap,Nothing,ArtsyApes Brains Longsleeve,"12,05%","5,19%","13,66%","1,62%","1,11%","2,70%","65,90%","1,43%",0,3716,"98,38",7,"87,45","92,92",113,"1,11","70,17","85,33570635",94,N
