ID,Ape,Background,Eyes,Glasses,Jewelry,Headwear,Mouth,Outfit,Ape%,Background%,Eyes%,Glasses%,Jewelry%,Headwear%,Mouth%,Outfit%,Statistical Rarity,Inverse SR Rank,SR Percentile,Trait Count,Inverse TC Rarity,Rarity,Final Rank,ID,Glitched?
463,Jeff,Matrix,Brown And Orange,Clear Lenses Round,Double Ear Piercing,Captain's Hat,Respirator,Black Waistcoat,"11,25%","4,21%","10,38%","3,87%","3,36%","4,18%","2,28%","1,46%",0,3759,"99,52",8,"97,62","98,57",17,463,N
2402,Juanita,Red & Green Aura,Brown And Orange,Green Cybernetic Visor,Golden Nose Ring,Captain's Hat,Cigarette,Black Waistcoat,"11,25%","6,80%","10,38%","1,62%","5,56%","4,18%","2,78%","1,46%",0,3755,"99,42",8,"97,62","98,52",18,2402,N
1235,Robin,Deep Green,Yellow And Blue,Clear Lenses Round,Cross Necklace,Beer Helmet,Lollipop,Joker Suit,"11,04%","6,43%","10,22%","3,87%","3,18%","2,89%","5,03%","1,01%",0,3753,"99,36",8,"97,62","98,49",19,1235,N
2863,Juanita,Abstract White_Blue,Yellow And Blue,Flower Power,JÃ¤germeister Chain,Chef's Hat,Respirator,Hawaii Shirt,"11,25%","5,19%","10,22%","3,52%","2,99%","4,26%","2,28%","2,20%",0,3752,"99,34",8,"97,62","98,48",20,2863,N
89,Lou,Abstract Red_Blue,Blue And Orange,Clear Lenses Round,Golden Eyebrow Piercing,Gold Halo,Lollipop,MVVD Hoodie,"12,05%","4,87%","22,00%","3,87%","2,62%","2,33%","5,03%","0,90%",0,3751,"99,31",8,"97,62","98,46",21,89,N
2570,Robin,Deep Green,Green And Orange,Space Comms Gadget,Golden Nose Ring,Chef's Hat,Bubblegum,ArtsyApes Brains Longsleeve,"11,04%","6,43%","13,66%","1,11%","5,56%","4,26%","3,89%","1,43%",0,3750,"99,29",8,"97,62","98,45",22,2570,N
857,Robin,Space Gold,Brown And Orange,Heart Sunglasses,Golden Nose Ring,Gold Halo,Pizza,Dopey Hoodie,"11,04%","2,07%","10,38%","4,42%","5,56%","2,33%","5,00%","2,17%",0,3749,"99,26",8,"97,62","98,44",23,857,N
1893,Jeff,Abstract Red_Blue,Brown And Orange,Space Comms Gadget,Silver Necklace,Chef's Hat,Cigar,_APES_ Sweater,"11,25%","4,87%","10,38%","1,11%","4,82%","4,26%","4,00%","3,02%",0,3747,"99,21",8,"97,62","98,41",24,1893,N
3207,Robin,Mountains,Yellow And Blue,Deal With It,Bitcoin Chain,Chef's Hat,Cigar,100 Emoji Swag Tee,"11,04%","5,61%","10,22%","5,03%","2,70%","4,26%","4,00%","1,14%",0,3746,"99,18",8,"97,62","98,40",25,3207,N
1530,Ham,Deep Green,Brown And Orange,3D,JÃ¤germeister Chain,Reverse Hat,Ganja,Guy Fieri Flame Shirt,"9,74%","6,43%","10,38%","3,71%","2,99%","3,76%","5,75%","1,09%",0,3745,"99,15",8,"97,62","98,38",26,1530,N
1363,Gordo,Mountains,Green And Orange,Heart Sunglasses,Golden Eyebrow Piercing,ArtsyApes Cap,Lollipop,Rainbow Pin Suit & Tie,"10,19%","5,61%","13,66%","4,42%","2,62%","4,05%","5,03%","1,01%",0,3743,"99,10",8,"97,62","98,36",27,1363,N
2532,Juanita,Brick Wall,Purple And Green,Flower Power,Bitcoin Chain,Red Cap,Bubblegum,Luna Tee,"11,25%","6,09%","7,60%","3,52%","2,70%","2,70%","3,89%","3,65%",0,3742,"99,07",8,"97,62","98,35",28,2532,N
3533,Albert,Mountains,Blue And Orange,Clear Lenses Round,Cross Earring,Clown Wig,Bubblegum,Rich Old White Male Tee,"10,83%","5,61%","22,00%","3,87%","3,10%","2,57%","3,89%","1,19%",0,3741,"99,05",8,"97,62","98,33",29,3533,N
1522,Bruno,Abstract Red_Blue,Brown And Orange,Pilot Sunglasses,Cross Earring,Visor Cap,Party Whistle,Guy Fieri Flame Shirt,"10,83%","4,87%","10,38%","5,43%","3,10%","3,57%","5,35%","1,09%",0,3740,"99,02",8,"97,62","98,32",30,1522,N
3113,Jeff,Space Silver,Green And Orange,Pilot Sunglasses,JÃ¤germeister Chain,Orange Beanie,Cigarette,Derby Stars Turtleneck,"11,25%","6,43%","13,66%","5,43%","2,99%","3,87%","2,78%","1,16%",0,3738,"98,97",8,"97,62","98,29",31,3113,N
2378,Ham,Abstract Red_Blue,Green And Orange,Green Cybernetic Visor,Silver Necklace,Red Cap,Lollipop,_APES_ Sweater,"9,74%","4,87%","13,66%","1,62%","4,82%","2,70%","5,03%","3,02%",0,3737,"98,94",8,"97,62","98,28",32,2378,N
324,Albert,Sprayed Wall,Purple And Green,Pilot Sunglasses,Silver Necklace,Clown Wig,Cigarette,Thorchain Hoodie & Jacket,"10,83%","5,30%","7,60%","5,43%","4,82%","2,57%","2,78%","2,65%",0,3736,"98,91",8,"97,62","98,27",33,324,N
2579,Robin,Sprayed Wall,Brown And Orange,Green Cybernetic Visor,Silver Necklace,ArtsyApes Cap,Bubblegum,_APES_ Sweater,"11,04%","5,30%","10,38%","1,62%","4,82%","4,05%","3,89%","3,02%",0,3734,"98,86",8,"97,62","98,24",34,2579,N
2577,Lou,Abstract Red_Blue,Grey And Yellow,Deal With It,Golden Eyebrow Piercing,Red Cap,Party Whistle,JÃ¤germeister Hoodie,"12,05%","4,87%","12,13%","5,03%","2,62%","2,70%","5,35%","1,69%",0,3732,"98,81",8,"97,62","98,21",35,2577,N
640,Albert,Matrix,Orange And Blue,Pilot Sunglasses,Cross Earring,Reverse Hat,Party Whistle,ArtsyApes Basketball Jersey,"10,83%","4,21%","21,66%","5,43%","3,10%","3,76%","5,35%","0,93%",0,3727,"98,68",8,"97,62","98,15",36,640,N
1343,Albert,Mountains,Yellow And Blue,Heart Sunglasses,Cross Earring,Propeller Hat,Cigar,Black Tee,"10,83%","5,61%","10,22%","4,42%","3,10%","4,02%","4,00%","2,33%",0,3726,"98,65",8,"97,62","98,13",37,1343,N
2037,Jeff,Mountains,Green And Orange,Clear Lenses Round,Golden Earring,Beer Helmet,Cigar,Hawaii Shirt,"11,25%","5,61%","13,66%","3,87%","3,79%","2,89%","4,00%","2,20%",0,3724,"98,60",8,"97,62","98,11",38,2037,N
3170,Bruno,Half-Sprayed Wall,Green And Orange,Deal With It,Bitcoin Chain,Gold Crown,Ganja,Luna Tee,"10,83%","6,99%","13,66%","5,03%","2,70%","1,11%","5,75%","3,65%",0,3723,"98,57",8,"97,62","98,09",39,3170,N
621,Juanita,Ones & Zeros,Blue And Orange,Space Comms Gadget,Silver Necklace,Chef's Hat,Pizza,Ape College Jacket,"11,25%","5,30%","22,00%","1,11%","4,82%","4,26%","5,00%","2,49%",0,3720,"98,49",8,"97,62","98,05",40,621,N
3504,Juanita,Matrix,Brown And Orange,Deal With It,Cross Necklace,Propeller Hat,Pizza,JÃ¤germeister Urban Hoodie,"11,25%","4,21%","10,38%","5,03%","3,18%","4,02%","5,00%","2,41%",0,3719,"98,46",8,"97,62","98,04",41,3504,N
1837,Albert,Sunny Beach,Orange And Blue,Pilot Sunglasses,Bitcoin Chain,Devil Horns,Pizza,White Shirt & Blue Tie,"10,83%","3,18%","21,66%","5,43%","2,70%","3,10%","5,00%","2,28%",0,3717,"98,41",8,"97,62","98,01",42,1837,N
1274,Lou,Gold Flakes,Yellow And Blue,Orange Shades,Cross Earring,Gold Halo,Pizza,Hawaii Shirt,"12,05%","6,33%","10,22%","6,35%","3,10%","2,33%","5,00%","2,20%",0,3715,"98,36",8,"97,62","97,99",43,1274,N
1265,Gordo,Deep Green,Grey And Yellow,Pilot Sunglasses,Golden Earring,Chef's Hat,Pizza,Go ***** Yourself Tee,"10,19%","6,43%","12,13%","5,43%","3,79%","4,26%","5,00%","1,16%",0,3713,"98,31",8,"97,62","97,96",44,1265,N
2444,Albert,Matrix,Orange And Blue,Orange Shades,Bitcoin Chain,Red Cap,Party Whistle,Thorchain Hoodie,"10,83%","4,21%","21,66%","6,35%","2,70%","2,70%","5,35%","1,72%",0,3711,"98,25",8,"97,62","97,93",45,2444,N
311,Ham,Abstract Red_Blue,Grey And Yellow,Pilot Sunglasses,JÃ¤germeister Chain,Captain's Hat,Pizza,Ethereum Hoodie,"9,74%","4,87%","12,13%","5,43%","2,99%","4,18%","5,00%","2,20%",0,3709,"98,20",8,"97,62","97,91",46,311,N
1313,Lou,Rainbow,Orange And Blue,Deal With It,#WAGMI Chain,ArtsyApes Cap,Pizza,Banana Bonanza Hoodie,"12,05%","9,56%","21,66%","5,03%","0,56%","4,05%","5,00%","3,04%",0,3708,"98,17",8,"97,62","97,90",47,1313,N
1387,Bruno,Deep Blue,Orange And Blue,Heart Sunglasses,Double Ear Piercing,Gold Halo,Respirator,Banana Bonanza Hoodie,"10,83%","7,73%","21,66%","4,42%","3,36%","2,33%","2,28%","3,04%",0,3707,"98,15",8,"97,62","97,88",48,1387,N
980,Bruno,Sprayed Wall,Yellow And Blue,Heart Sunglasses,Golden Nose Ring,Clown Wig,Lollipop,JÃ¤germeister Urban Hoodie,"10,83%","5,30%","10,22%","4,42%","5,56%","2,57%","5,03%","2,41%",0,3705,"98,09",8,"97,62","97,86",49,980,N
1714,Whitney,Sprayed Wall,Grey And Yellow,Deal With It,Cross Earring,Beer Helmet,Pizza,_APES_ Sweater,"10,46%","5,30%","12,13%","5,03%","3,10%","2,89%","5,00%","3,02%",0,3704,"98,07",8,"97,62","97,84",50,1714,N
1525,Jeff,Matrix,Grey And Yellow,Orange Shades,Golden Nose Ring,Red Cap,Cigar,Stebo Sweater,"11,25%","4,21%","12,13%","6,35%","5,56%","2,70%","4,00%","2,17%",0,3702,"98,01",8,"97,62","97,82",51,1525,N
934,Jeff,Half-Sprayed Wall,Brown And Orange,Heart Sunglasses,Double Ear Piercing,Red Cap,Pizza,Blue Jacket,"11,25%","6,99%","10,38%","4,42%","3,36%","2,70%","5,00%","2,91%",0,3701,"97,99",8,"97,62","97,80",52,934,N
3369,Robin,Half-Sprayed Wall,Grey And Yellow,Orange Shades,Cross Earring,Red Cap,Cigarette,Luna Tee,"11,04%","6,99%","12,13%","6,35%","3,10%","2,70%","2,78%","3,65%",0,3699,"97,93",8,"97,62","97,78",53,3369,N
1454,Bruno,Ones & Zeros,Grey And Yellow,3D,Silver Necklace,Orange Beanie,Pizza,Stebo Sweater,"10,83%","5,30%","12,13%","3,71%","4,82%","3,87%","5,00%","2,17%",0,3698,"97,91",8,"97,62","97,76",54,1454,N
1818,Lou,Abstract Red_Blue,Blue And Orange,Clear Lenses Round,Golden Nose Ring,JÃ¤germeister Cap,Lollipop,Dopey Hoodie,"12,05%","4,87%","22,00%","3,87%","5,56%","1,72%","5,03%","2,17%",0,3697,"97,88",8,"97,62","97,75",55,1818,N
2613,Gordo,Space Silver,Grey And Yellow,Flower Power,Golden Nose Ring,Visor Cap,Bubblegum,Ape College Jacket,"10,19%","6,43%","12,13%","3,52%","5,56%","3,57%","3,89%","2,49%",0,3696,"97,86",8,"97,62","97,74",56,2613,N
1215,Lou,Bright Sky,Blue And Orange,Flower Power,Cross Earring,Gold Halo,Pizza,Green Puffer Jacket,"12,05%","7,18%","22,00%","3,52%","3,10%","2,33%","5,00%","2,25%",0,3694,"97,80",8,"97,62","97,71",57,1215,N
1442,Ham,Bright Sky,Blue And Orange,Flower Power,JÃ¤germeister Chain,Propeller Hat,Ganja,Catchphrase Ripped Tee,"9,74%","7,18%","22,00%","3,52%","2,99%","4,02%","5,75%","1,51%",0,3693,"97,78",8,"97,62","97,70",58,1442,N
3488,Albert,Deep Blue,Orange And Blue,Flower Power,Bitcoin Chain,Chef's Hat,Party Whistle,Black Turtleneck,"10,83%","7,73%","21,66%","3,52%","2,70%","4,26%","5,35%","1,48%",0,3691,"97,72",8,"97,62","97,67",59,3488,N
2805,Jeff,Red & Green Aura,Purple And Green,Deal With It,Bitcoin Chain,Orange Beanie,Party Whistle,Stebo Tee,"11,25%","6,80%","7,60%","5,03%","2,70%","3,87%","5,35%","3,57%",0,3690,"97,70",8,"97,62","97,66",60,2805,N
2953,Albert,Rainbow,Orange And Blue,Green Cybernetic Visor,Golden Nose Ring,Clown Wig,Bubblegum,Blue Jacket,"10,83%","9,56%","21,66%","1,62%","5,56%","2,57%","3,89%","2,91%",0,3689,"97,67",8,"97,62","97,64",61,2953,N
132,Jeff,Brick Wall,Yellow And Blue,Orange Shades,Golden Earring,Propeller Hat,Lollipop,Thorchain Hoodie,"11,25%","6,09%","10,22%","6,35%","3,79%","4,02%","5,03%","1,72%",0,3688,"97,64",8,"97,62","97,63",62,132,N
3148,Robin,Gold Flakes,Purple And Green,Flower Power,Golden Nose Ring,Reverse Hat,Lollipop,ApeCoin Tee,"11,04%","6,33%","7,60%","3,52%","5,56%","3,76%","5,03%","3,10%",0,3687,"97,62",8,"97,62","97,62",63,3148,N
3471,Whitney,Deep Blue,Orange And Blue,Clear Lenses Round,Silver Necklace,JÃ¤germeister Cap,Lollipop,Dopey Hoodie,"10,46%","7,73%","21,66%","3,87%","4,82%","1,72%","5,03%","2,17%",0,3686,"97,59",8,"97,62","97,60",64,3471,N
1918,Albert,Deep Green,Blue And Orange,3D,Silver Necklace,Devil Horns,Lollipop,Black Waistcoat,"10,83%","6,43%","22,00%","3,71%","4,82%","3,10%","5,03%","1,46%",0,3685,"97,56",8,"97,62","97,59",65,1918,N
806,Juanita,Space Silver,Blue And Orange,Orange Shades,Golden Eyebrow Piercing,Clown Wig,Cigarette,"3,3 Tee","11,25%","6,43%","22,00%","6,35%","2,62%","2,57%","2,78%","3,39%",0,3683,"97,51",8,"97,62","97,56",66,806,N
3288,Lou,Abstract Red_Blue,Blue And Orange,Flower Power,JÃ¤germeister Chain,Orange Beanie,Ganja,Green Puffer Jacket,"12,05%","4,87%","22,00%","3,52%","2,99%","3,87%","5,75%","2,25%",0,3680,"97,43",8,"97,62","97,52",67,3288,N
565,Gordo,Rainbow,Orange And Blue,Pilot Sunglasses,Silver Necklace,Gold Crown,Party Whistle,White Tee Blue Shirt,"10,19%","9,56%","21,66%","5,43%","4,82%","1,11%","5,35%","2,09%",0,3679,"97,41",8,"97,62","97,51",68,565,N
2894,Whitney,Rainbow,Green And Orange,Pilot Sunglasses,Cross Earring,Chef's Hat,Respirator,ApeCoin Tee,"10,46%","9,56%","13,66%","5,43%","3,10%","4,26%","2,28%","3,10%",0,3678,"97,38",8,"97,62","97,50",69,2894,N
1883,Robin,Rainbow,Orange And Blue,Green Cybernetic Visor,Bitcoin Chain,Captain's Hat,Ganja,Banana Bonanza Hoodie,"11,04%","9,56%","21,66%","1,62%","2,70%","4,18%","5,75%","3,04%",0,3675,"97,30",8,"97,62","97,46",70,1883,N
1,Robin,Gold Flakes,Orange And Blue,3D,Cross Necklace,Clown Wig,Ganja,Blue Jacket,"11,04%","6,33%","21,66%","3,71%","3,18%","2,57%","5,75%","2,91%",0,3673,"97,25",8,"97,62","97,43",71,1,N
3081,Lou,Rainbow,Blue And Orange,Orange Shades,Rose Necklace,Reverse Hat,Party Whistle,Ripped Black Shirt,"12,05%","9,56%","22,00%","6,35%","1,11%","3,76%","5,35%","2,25%",0,3671,"97,19",8,"97,62","97,41",72,3081,N
3158,Albert,Abstract White_Blue,Orange And Blue,3D,Silver Necklace,Clown Wig,Lollipop,ApeCoin Tee,"10,83%","5,19%","21,66%","3,71%","4,82%","2,57%","5,03%","3,10%",0,3669,"97,14",8,"97,62","97,38",73,3158,N
2025,Gordo,Red & Green Aura,Orange And Blue,Clear Lenses Round,Silver Necklace,Gold Halo,Bubblegum,Stebo Tee,"10,19%","6,80%","21,66%","3,87%","4,82%","2,33%","3,89%","3,57%",0,3665,"97,03",8,"97,62","97,33",74,2025,N
506,Jeff,Deep Green,Orange And Blue,Clear Lenses Round,Double Ear Piercing,Propeller Hat,Pizza,JÃ¤germeister Urban Hoodie,"11,25%","6,43%","21,66%","3,87%","3,36%","4,02%","5,00%","2,41%",0,3661,"96,93",8,"97,62","97,27",75,506,N
3602,Whitney,Half-Sprayed Wall,Blue And Orange,Pilot Sunglasses,Double Ear Piercing,Beer Helmet,Lollipop,Black Tee,"10,46%","6,99%","22,00%","5,43%","3,36%","2,89%","5,03%","2,33%",0,3660,"96,90",8,"97,62","97,26",76,3602,N
709,Bruno,Rainbow,Grey And Yellow,Orange Shades,Septum Piercing,Captain's Hat,Bubblegum,Ripped Black Shirt,"10,83%","9,56%","12,13%","6,35%","3,47%","4,18%","3,89%","2,25%","0,000000000101",3659,"96,88",8,"97,62","97,25",77,709,N
2838,Lou,Gold Flakes,Orange And Blue,Pilot Sunglasses,Silver Necklace,Propeller Hat,Bubblegum,Catchphrase Ripped Tee,"12,05%","6,33%","21,66%","5,43%","4,82%","4,02%","3,89%","1,51%","0,000000000102",3658,"96,85",8,"97,62","97,23",78,2838,N
1551,Robin,Gold Flakes,Orange And Blue,Orange Shades,Septum Piercing,Orange Beanie,Cigarette,Blue Jacket,"11,04%","6,33%","21,66%","6,35%","3,47%","3,87%","2,78%","2,91%","0,000000000104",3656,"96,80",8,"97,62","97,21",79,1551,N
884,Robin,Half-Sprayed Wall,Orange And Blue,Orange Shades,Golden Earring,Red Cap,Ganja,Thorchain Hoodie,"11,04%","6,99%","21,66%","6,35%","3,79%","2,70%","5,75%","1,72%","0,000000000107",3654,"96,74",8,"97,62","97,18",80,884,N
3069,Jeff,Red & Green Aura,Blue And Orange,Orange Shades,JÃ¤germeister Chain,Clown Wig,Party Whistle,Ape College Jacket,"11,25%","6,80%","22,00%","6,35%","2,99%","2,57%","5,35%","2,49%","0,000000000109",3652,"96,69",8,"97,62","97,15",81,3069,N
3522,Robin,Bright Sky,Grey And Yellow,Heart Sunglasses,Golden Nose Ring,Reverse Hat,Lollipop,Ape College Jacket,"11,04%","7,18%","12,13%","4,42%","5,56%","3,76%","5,03%","2,49%","0,000000000111",3650,"96,64",8,"97,62","97,13",82,3522,N
2154,Robin,Sprayed Wall,Blue And Orange,Pilot Sunglasses,Golden Nose Ring,Propeller Hat,Pizza,ArtsyApes Brains Longsleeve,"11,04%","5,30%","22,00%","5,43%","5,56%","4,02%","5,00%","1,43%","0,000000000112",3648,"96,58",8,"97,62","97,10",83,2154,N
410,Gordo,Space Silver,Green And Orange,Orange Shades,Golden Earring,Propeller Hat,Lollipop,Thorchain Hoodie & Jacket,"10,19%","6,43%","13,66%","6,35%","3,79%","4,02%","5,03%","2,65%","0,000000000116",3646,"96,53",8,"97,62","97,07",84,410,N
1891,Lou,Deep Blue,Blue And Orange,Deal With It,Golden Nose Ring,Captain's Hat,Respirator,Ripped Black Shirt,"12,05%","7,73%","22,00%","5,03%","5,56%","4,18%","2,28%","2,25%","0,000000000123",3643,"96,45",8,"97,62","97,03",85,1891,N
3129,Bruno,Rainbow,Green And Orange,Clear Lenses Round,Septum Piercing,Captain's Hat,Party Whistle,_APES_ Sweater,"10,83%","9,56%","13,66%","3,87%","3,47%","4,18%","5,35%","3,02%","0,000000000128",3641,"96,40",8,"97,62","97,01",86,3129,N
1576,Gordo,Abstract Red_Blue,Grey And Yellow,Pilot Sunglasses,Golden Nose Ring,ArtsyApes Cap,Ganja,Banana Bonanza Hoodie,"10,19%","4,87%","12,13%","5,43%","5,56%","4,05%","5,75%","3,04%","0,000000000129",3640,"96,37",8,"97,62","96,99",87,1576,N
508,Bruno,Red & Green Aura,Orange And Blue,Orange Shades,Cross Necklace,Red Cap,Ganja,Thorchain Hoodie & Jacket,"10,83%","6,80%","21,66%","6,35%","3,18%","2,70%","5,75%","2,65%","0,000000000132",3636,"96,27",8,"97,62","96,94",88,508,N
3678,Robin,Brick Wall,Blue And Orange,Deal With It,Septum Piercing,Captain's Hat,Ganja,Stebo Sweater,"11,04%","6,09%","22,00%","5,03%","3,47%","4,18%","5,75%","2,17%","0,000000000135",3634,"96,21",8,"97,62","96,92",89,3678,N
1646,Albert,Bright Sky,Orange And Blue,Heart Sunglasses,Septum Piercing,Propeller Hat,Ganja,Black Tee,"10,83%","7,18%","21,66%","4,42%","3,47%","4,02%","5,75%","2,33%","0,000000000139",3633,"96,19",8,"97,62","96,90",90,1646,N
2531,Juanita,Rainbow,Grey And Yellow,Pilot Sunglasses,Cross Earring,Orange Beanie,Party Whistle,Luna Tee,"11,25%","9,56%","12,13%","5,43%","3,10%","3,87%","5,35%","3,65%","0,000000000166",3618,"95,79",8,"97,62","96,70",92,2531,N
758,Gordo,Bright Sky,Blue And Orange,Heart Sunglasses,Golden Nose Ring,Beer Helmet,Pizza,ApeCoin Tee,"10,19%","7,18%","22,00%","4,42%","5,56%","2,89%","5,00%","3,10%","0,000000000177",3612,"95,63",8,"97,62","96,62",93,758,N
2463,Gordo,Red & Green Aura,Blue And Orange,Orange Shades,Double Ear Piercing,Captain's Hat,Party Whistle,"3,3 Tee","10,19%","6,80%","22,00%","6,35%","3,36%","4,18%","5,35%","3,39%","0,000000000247",3574,"94,63",8,"97,62","96,12",94,2463,N
2735,Juanita,Rainbow,Blue And Orange,Orange Shades,Silver Necklace,Propeller Hat,Ganja,Plain White Shirt,"11,25%","9,56%","22,00%","6,35%","4,82%","4,02%","5,75%","2,04%","0,000000000342",3534,"93,57",8,"97,62","95,59",95,2735,N
1612,Whitney,Sunny Beach,Orange And Blue,Heart Sunglasses,Bitcoin Chain,None,Lollipop,Laurent Tee,"10,46%","3,18%","21,66%","4,42%","2,70%","52,08%","5,03%","0,03%",0,3763,"99,63",7,"87,45","93,54",96,1612,N
3136,Albert,Brick Wall,Brown And Orange,Pilot Sunglasses,Bitcoin Chain,Chef's Hat,Nothing,Das Eggenberg Tee,"10,83%","6,09%","10,38%","5,43%","2,70%","4,26%","65,90%","0,03%",0,3760,"99,55",7,"87,45","93,50",97,3136,N
1279,Albert,Deep Green,Yellow And Blue,Pilot Sunglasses,Rose Necklace,Propeller Hat,Respirator,None,"10,83%","6,43%","10,22%","5,43%","1,11%","4,02%","2,28%","2,52%",0,3758,"99,50",7,"87,45","93,47",98,1279,N
764,Turned,Space Silver,Loose,Clear Lenses Round,Cross Earring,Chef's Hat,Nothing,Rainbow Pin Suit & Tie,"2,20%","6,43%","2,09%","3,87%","3,10%","4,26%","65,90%","1,01%",0,3757,"99,47",7,"87,45","93,46",99,764,N
445,Turned,Abstract White_Blue,Loose,None,Double Ear Piercing,Reverse Hat,Party Whistle,Rainbow Pin Suit & Tie,"2,20%","5,19%","2,09%","64,95%","3,36%","3,76%","5,35%","1,01%",0,3756,"99,44",7,"87,45","93,45",100,445,N
43,Turned,Abstract White_Blue,Loose,Orange Shades,None,Orange Beanie,Lollipop,Captain's Outfit,"2,20%","5,19%","2,09%","6,35%","62,75%","3,87%","5,03%","0,66%",0,3754,"99,39",7,"87,45","93,42",102,43,N
3341,Turned,Deep Blue,Loose,Deal With It,Golden Eyebrow Piercing,Orange Beanie,Nothing,White Plain Tee,"2,20%","7,73%","2,09%","5,03%","2,62%","3,87%","65,90%","1,30%",0,3748,"99,23",7,"87,45","93,34",103,3341,N
1354,Turned,Deep Blue,Loose,3D,Golden Earring,Propeller Hat,Nothing,White Plain Tee,"2,20%","7,73%","2,09%","3,71%","3,79%","4,02%","65,90%","1,30%",0,3744,"99,13",7,"87,45","93,29",104,1354,N
